,comune,classificazione
0,Alcara li Fusi,2
1,Alì,1
2,Alì Terme,1
3,Antillo,2
4,Barcellona Pozzo di Gotto,2
5,Basicò,2
6,Brolo,2
7,Capizzi,2
8,Capo d'Orlando,2
9,Capri Leone,2
10,Caronia,2
11,Casalvecchio Siculo,2
12,Castel di Lucio,2
13,Castell'Umberto,2
14,Castelmola,2
15,Castroreale,2
16,Cesarò,2
17,Condrò,2
18,Falcone,2
19,Ficarra,2
20,Fiumedinisi,1
21,Floresta,2
22,Fondachelli-Fantina,2
23,Forza d'Agrò,2
24,Francavilla di Sicilia,2
25,Frazzanò,2
26,Furci Siculo,1
27,Furnari,2
28,Gaggi,2
29,Galati Mamertino,2
30,Gallodoro,2
31,Giardini-Naxos,2
32,Gioiosa Marea,2
33,Graniti,2
34,Gualtieri Sicaminò,2
35,Itala,1
36,Leni,2
37,Letojanni,2
38,Librizzi,2
39,Limina,2
40,Lipari,2
41,Longi,2
42,Malfa,2
43,Malvagna,2
44,Mandanici,1
45,Mazzarrà Sant'Andrea,2
46,Merì,2
47,Messina,1
48,Milazzo,2
49,Militello Rosmarino,2
50,Mirto,2
51,Mistretta,2
52,Moio Alcantara,2
53,Monforte San Giorgio,2
54,Mongiuffi Melia,2
55,Montagnareale,2
56,Montalbano Elicona,2
57,Motta Camastra,2
58,Motta d'Affermo,2
59,Naso,2
60,Nizza di Sicilia,1
61,Novara di Sicilia,2
62,Oliveri,2
63,Pace del Mela,2
64,Pagliara,1
65,Patti,2
66,Pettineo,2
67,Piraino,2
68,Raccuja,2
69,Reitano,2
70,Roccafiorita,2
71,Roccalumera,1
72,Roccavaldina,2
73,Roccella Valdemone,2
74,Rodì Milici,2
75,Rometta,1
76,San Filippo del Mela,2
77,San Fratello,2
78,San Marco d'Alunzio,2
79,San Pier Niceto,2
80,San Piero Patti,2
81,San Salvatore di Fitalia,2
82,Santa Domenica Vittoria,2
83,Sant'Agata di Militello,2
84,Sant'Alessio Siculo,1
85,Santa Lucia del Mela,2
86,Santa Marina Salina,2
87,Sant'Angelo di Brolo,2
88,Santa Teresa di Riva,1
89,San Teodoro,2
90,Santo Stefano di Camastra,2
91,Saponara,1
92,Savoca,1
93,Scaletta Zanclea,1
94,Sinagra,2
95,Spadafora,2
96,Taormina,2
97,Torregrotta,2
98,Tortorici,2
99,Tripi,2
100,Tusa,2
101,Ucria,2
102,Valdina,2
103,Venetico,2
104,Villafranca Tirrena,1
105,Terme Vigliatore,2
106,Acquedolci,2
107,Torrenova,2
108,Acquaviva Platani,3
109,Bompensiere,3
110,Butera,3
111,Caltanissetta,3
112,Campofranco,3
113,Delia,3
114,Gela,2
115,Marianopoli,3
116,Mazzarino,3
117,Milena,3
118,Montedoro,3
119,Mussomeli,3
120,Niscemi,2
121,Resuttano,2
122,Riesi,3
123,San Cataldo,3
124,Santa Caterina Villarmosa,2
125,Serradifalco,3
126,Sommatino,3
127,Sutera,3
128,Vallelunga Pratameno,3
129,Villalba,3
130,Aci Bonaccorsi,2
131,Aci Castello,2
132,Aci Catena,2
133,Acireale,2
134,Aci Sant'Antonio,2
135,Adrano,2
136,Belpasso,2
137,Biancavilla,2
138,Bronte,2
139,Calatabiano,2
140,Caltagirone,2
141,Camporotondo Etneo,2
142,Castel di Iudica,2
143,Castiglione di Sicilia,2
144,Catania,2
145,Fiumefreddo di Sicilia,2
146,Giarre,2
147,Grammichele,2
148,Gravina di Catania,2
149,Licodia Eubea,1
150,Linguaglossa,2
151,Maletto,2
152,Mascali,2
153,Mascalucia,2
154,Militello in Val di Catania,1
155,Milo,2
156,Mineo,2
157,Mirabella Imbaccari,2
158,Misterbianco,2
159,Motta Sant'Anastasia,2
160,Nicolosi,2
161,Palagonia,2
162,Paternò,2
163,Pedara,2
164,Piedimonte Etneo,2
165,Raddusa,2
166,Ramacca,2
167,Randazzo,2
168,Riposto,2
169,San Cono,2
170,San Giovanni la Punta,2
171,San Gregorio di Catania,2
172,San Michele di Ganzaria,2
173,San Pietro Clarenza,2
174,Sant'Agata li Battiati,2
175,Sant'Alfio,2
176,Santa Maria di Licodia,2
177,Santa Venerina,2
178,Scordia,1
179,Trecastagni,2
180,Tremestieri Etneo,2
181,Valverde,2
182,Viagrande,2
183,Vizzini,1
184,Zafferana Etnea,2
185,Mazzarrone,2
186,Maniace,2
187,Ragalna,2
188,Acate,2
189,Chiaramonte Gulfi,1
190,Comiso,2
191,Giarratana,1
192,Ispica,2
193,Modica,1
194,Monterosso Almo,1
195,Pozzallo,2
196,Ragusa,1
197,Santa Croce Camerina,2
198,Scicli,2
199,Vittoria,2
200,Augusta,1
201,Avola,2
202,Buccheri,1
203,Buscemi,1
204,Canicattini Bagni,1
205,Carlentini,1
206,Cassaro,1
207,Ferla,1
208,Floridia,1
209,Francofonte,1
210,Lentini,1
211,Melilli,1
212,Noto,1
213,Pachino,2
214,Palazzolo Acreide,1
215,Rosolini,2
216,Siracusa,1
217,Solarino,1
218,Sortino,1
219,Portopalo di Capo Passero,2
220,Priolo Gargallo,1
221,Alcamo,2
222,Buseto Palizzolo,2
223,Calatafimi-Segesta,2
224,Campobello di Mazara,2
225,Castellammare del Golfo,2
226,Castelvetrano,2
227,Custonaci,2
228,Erice,2
229,Favignana,2
230,Gibellina,1
231,Marsala,2
232,Mazara del Vallo,2
233,Paceco,2
234,Pantelleria,4
235,Partanna,1
236,Poggioreale,1
237,Salaparuta,1
238,Salemi,1
239,Santa Ninfa,1
240,San Vito Lo Capo,2
241,Trapani,2
242,Valderice,2
243,Vita,2
244,Petrosino,2
245,Alia,2
246,Alimena,2
247,Aliminusa,2
248,Altavilla Milicia,2
249,Altofonte,2
250,Bagheria,2
251,Balestrate,2
252,Baucina,2
253,Belmonte Mezzagno,2
254,Bisacquino,2
255,Bolognetta,2
256,Bompietro,2
257,Borgetto,2
258,Caccamo,2
259,Caltavuturo,2
260,Campofelice di Fitalia,2
261,Campofelice di Roccella,2
262,Campofiorito,2
263,Camporeale,2
264,Capaci,2
265,Carini,2
266,Castelbuono,2
267,Casteldaccia,2
268,Castellana Sicula,2
269,Castronovo di Sicilia,2
270,Cefalà Diana,2
271,Cefalù,2
272,Cerda,2
273,Chiusa Sclafani,2
274,Ciminna,2
275,Cinisi,2
276,Collesano,2
277,Contessa Entellina,1
278,Corleone,2
279,Ficarazzi,2
280,Gangi,2
281,Geraci Siculo,2
282,Giardinello,2
283,Giuliana,2
284,Godrano,2
285,Gratteri,2
286,Isnello,2
287,Isola delle Femmine,2
288,Lascari,2
289,Lercara Friddi,2
290,Marineo,2
291,Mezzojuso,2
292,Misilmeri,2
293,Monreale,2
294,Montelepre,2
295,Montemaggiore Belsito,2
296,Palazzo Adriano,2
297,Palermo,2
298,Partinico,2
299,Petralia Soprana,2
300,Petralia Sottana,2
301,Piana degli Albanesi,2
302,Polizzi Generosa,2
303,Pollina,2
304,Prizzi,2
305,Roccamena,2
306,Roccapalumba,2
307,San Cipirello,2
308,San Giuseppe Jato,2
309,San Mauro Castelverde,2
310,Santa Cristina Gela,2
311,Santa Flavia,2
312,Sciara,2
313,Sclafani Bagni,2
314,Termini Imerese,2
315,Terrasini,2
316,Torretta,2
317,Trabia,2
318,Trappeto,2
319,Ustica,2
320,Valledolmo,2
321,Ventimiglia di Sicilia,2
322,Vicari,2
323,Villabate,2
324,Villafrati,2
325,Scillato,2
326,Blufi,2
327,Agrigento,2
328,Alessandria della Rocca,2
329,Aragona,2
330,Bivona,2
331,Burgio,2
332,Calamonaci,2
333,Caltabellotta,2
334,Camastra,3
335,Cammarata,2
336,Campobello di Licata,3
337,Canicattì,3
338,Casteltermini,2
339,Castrofilippo,3
340,Cattolica Eraclea,2
341,Cianciana,2
342,Comitini,3
343,Favara,3
344,Grotte,3
345,Joppolo Giancaxio,2
346,Lampedusa e Linosa,4
347,Licata,3
348,Lucca Sicula,2
349,Menfi,1
350,Montallegro,2
351,Montevago,1
352,Naro,3
353,Palma di Montechiaro,3
354,Porto Empedocle,2
355,Racalmuto,3
356,Raffadali,2
357,Ravanusa,3
358,Realmonte,2
359,Ribera,2
360,Sambuca di Sicilia,2
361,San Biagio Platani,2
362,San Giovanni Gemini,2
363,Santa Elisabetta,2
364,Santa Margherita di Belice,1
365,Sant'Angelo Muxaro,2
366,Santo Stefano Quisquina,2
367,Sciacca,2
368,Siculiana,2
369,Villafranca Sicula,2
370,Agira,2
371,Aidone,2
372,Assoro,2
373,Barrafranca,3
374,Calascibetta,2
375,Catenanuova,2
376,Centuripe,2
377,Cerami,2
378,Enna,2
379,Gagliano Castelferrato,2
380,Leonforte,2
381,Nicosia,2
382,Nissoria,2
383,Piazza Armerina,2
384,Pietraperzia,3
385,Regalbuto,2
386,Sperlinga,2
387,Troina,2
388,Valguarnera Caropepe,2
389,Villarosa,2
390,Misiliscemi,2
